owner,method_id,dataset_id,modality,seed,size_gb,n_records,t_preprocess_sec,t_train_sec,t_infer_p50_ms,t_infer_p95_ms,peak_rss_gb,cpu_time_sec,mrr,top1,top3,top5,precision,recall,f1,metrics_active_series,logs_template_count,traces_avg_spans_per_trace,model_params
fuxian,MRCA,OB,L,-1,0.009211987257003784,567942,244.85798910498852,4.582748267974239,0.15064800390973687,0.15917499986244366,1.7302169799804688,250.190153734,0.3222576530612243,0.1428571428571428,0.30357142857142855,0.5178571428571429,-1.0,-1.0,-1.0,0,5635,0.0,6946
fuxian,MRCA,OB,T,-1,0.009211987257003784,567942,7.9143574819900095,4.661877826991258,0.1454559969715774,0.15431511274073273,0.8842124938964844,13.628619299,0.2915745464852607,0.10714285714285708,0.2857142857142857,0.48214285714285715,-1.0,-1.0,-1.0,0,0,44.51935628942667,6946
fuxian,MRCA,OB,LT,-1,0.009211987257003784,567942,252.14263769699028,4.415218134992756,0.16939050692599267,0.26051070453831915,1.7302169799804688,257.261258322,0.2978032879818593,0.10714285714285711,0.3392857142857143,0.5178571428571429,-1.0,-1.0,-1.0,0,5635,44.51935628942667,6946
fuxian,MRCA,OB,ML,-1,0.15428676921874285,993427,244.85798910498852,4.582748267974239,667.5870305043645,807.350804253656,1.7302169799804688,290.28556124299996,0.2886904761904761,0.17857142857142855,0.30357142857142855,0.5357142857142857,-1.0,-1.0,-1.0,154,5635,0.0,6946
fuxian,MRCA,OB,MT,-1,0.15377789922058582,993391,7.9143574819900095,4.661877826991258,664.3085014948156,801.8992215991602,0.8842124938964844,53.60599504699999,0.206845238095238,0.10714285714285708,0.24999999999999997,0.4285714285714285,-1.0,-1.0,-1.0,154,0,44.51935628942667,6946
fuxian,MRCA,OB,MLT,-1,0.1896791234612465,1094331,252.14263769699028,4.415218134992756,254.78265450510662,289.72445625113323,1.7302169799804688,271.545575053,0.6928571428571428,0.5892857142857143,0.7857142857142857,0.8571428571428571,-1.0,-1.0,-1.0,33,5635,44.51935628942667,6946
fuxian,MRCA,TT,L,-1,0.00730244442820549,527317,11.26506919201347,4.923561503004748,0.14428398571908474,0.15799200627952814,0.8898506164550781,18.1887427,0.0890743849900982,0.022222222222222213,0.06666666666666665,0.08888888888888886,-1.0,-1.0,-1.0,0,4056,0.0,6946
fuxian,MRCA,TT,T,-1,0.00730244442820549,527317,7.802555753005436,4.782173251005588,0.14704299974255264,0.16049298574216664,0.8895988464355469,14.573792139,0.0738688249905925,0.0,0.06666666666666665,0.11111111111111109,-1.0,-1.0,-1.0,0,0,71.79564372918979,6946
fuxian,MRCA,TT,LT,-1,0.008024624548852444,527317,18.747061197005678,4.703210718987975,0.1460299827158451,0.22895200527273118,0.8792648315429688,25.361099985000003,0.1247704061854388,0.044444444444444446,0.15555555555555556,0.15555555555555556,-1.0,-1.0,-1.0,0,4056,71.79564372918979,6946
fuxian,MRCA,TT,ML,-1,0.22019442915916443,1213536,11.26506919201347,4.923561503004748,1211.691095988499,1561.7867833876517,0.8898506164550781,78.10930982499998,0.0488888888888888,0.022222222222222213,0.04444444444444443,0.11111111111111108,-1.0,-1.0,-1.0,672,4056,0.0,6946
fuxian,MRCA,TT,MT,-1,0.22039460390806198,1213315,7.802555753005436,4.782173251005588,1202.0437750034034,1593.0256963823922,0.8895988464355469,74.041940732,0.0429629629629629,0.0,0.044444444444444446,0.15555555555555556,-1.0,-1.0,-1.0,672,0,71.79564372918979,6946
fuxian,MRCA,TT,MLT,-1,0.5445523420348763,2310940,18.747061197005678,4.703210718987975,1091.2884469871642,1102.890068142733,0.8792648315429688,73.893164,0.6996296296296295,0.6,0.8,0.8666666666666667,-1.0,-1.0,-1.0,276,4056,71.79564372918979,6946
fuxian,MRCA,GAIA,L,-1,3.203687822446227,179093382,540.5228007411351,93.00700528500602,0.1618235110072419,0.2105161926010623,0.9658012390136719,667.9482492550001,0.2628146800121311,0.09190172884440392,0.32120109190172874,0.6706096451319381,-1.0,-1.0,-1.0,0,1258,0.0,6946
fuxian,MRCA,GAIA,T,-1,3.203687822446227,179093382,77.98473506898154,93.00388251399272,0.1640235132072121,0.2083450410282239,0.9112930297851562,206.82401998,0.3325599029420679,0.1501364877161055,0.48043676069153773,0.6706096451319381,-1.0,-1.0,-1.0,0,0,6.147819977069456,6946
fuxian,MRCA,GAIA,LT,-1,3.203687822446227,179093382,578.1732083760435,93.00211954500992,0.15768599405419081,0.2112692352966405,0.9658012390136719,704.1519802300002,0.3319836214740663,0.15832575068243857,0.4531392174704277,0.6706096451319381,-1.0,-1.0,-1.0,0,1258,6.147819977069456,6946
fuxian,MRCA,GAIA,ML,-1,54.937689014710486,273407365,540.5228007411351,93.00700528500602,1460.2852985699428,1633.5285917535657,0.9658012390136719,2132.505875661,0.3260603204524023,0.1837888784165881,0.413760603204524,0.6182846371347785,-1.0,-1.0,-1.0,86,1258,0.0,6946
fuxian,MRCA,GAIA,MT,-1,54.937689014710486,273407365,77.98473506898154,93.00388251399272,1491.20025956654,1642.9432265897049,0.9112930297851562,1697.9261356459997,0.3931982406534698,0.24505183788878418,0.5032987747408105,0.7238454288407163,-1.0,-1.0,-1.0,86,0,6.147819977069456,6946
fuxian,MRCA,GAIA,MLT,-1,54.937689014710486,273407365,578.1732083760435,93.00211954500992,1178.6861949804006,1395.8958051996888,0.9658012390136719,1908.4285742419997,0.4199811498586221,0.24882186616399618,0.5391140433553252,0.760603204524034,-1.0,-1.0,-1.0,86,1258,6.147819977069456,6946
fuxian,MRCA,AIOps22,L,-1,0.7512638662010431,46606440,175.30668570194393,3.702616936992854,0.15866350440774113,0.19485608208924526,1.9995880126953125,192.655943824,0.2643929027549717,0.08620689655172412,0.3103448275862069,0.47701149425287354,-1.0,-1.0,-1.0,0,1378,0.0,6946
fuxian,MRCA,AIOps22,T,-1,0.7512638662010431,46606440,98.61158462101594,3.8181219779944513,0.16098548076115549,0.20401495276018977,3.817737579345703,116.95807993700001,0.2611019886881957,0.08620689655172412,0.27011494252873564,0.4540229885057471,-1.0,-1.0,-1.0,0,0,21.806635335582413,6946
fuxian,MRCA,AIOps22,LT,-1,0.7512638662010431,46606440,270.9163052110234,3.7213647610042244,0.16633101040497422,0.20389459386933592,3.817737579345703,288.513037905,0.2813149972632732,0.09195402298850573,0.3275862068965517,0.5,-1.0,-1.0,-1.0,0,1378,21.806635335582413,6946
fuxian,MRCA,AIOps22,ML,-1,2.1555621651932597,65786977,175.30668570194393,3.702616936992854,447.46226248389576,562.0620690227952,1.9995880126953125,284.54384356099996,0.288984674329502,0.12643678160919536,0.39655172413793105,0.6206896551724138,-1.0,-1.0,-1.0,2256,1378,0.0,6946
fuxian,MRCA,AIOps22,MT,-1,2.1555621651932597,65786977,98.61158462101594,3.8181219779944513,450.6504729797598,564.1213144699577,3.817737579345703,208.978341367,0.3161877394636016,0.17816091954022986,0.40804597701149425,0.5977011494252874,-1.0,-1.0,-1.0,2256,0,21.806635335582413,6946
